CUSTOMERID,GEOGRAPHY,GENDER,AGE,TENURE,BALANCE,NUMOFPRODUCTS,HASCRCARD,ISACTIVEMEMBER,ESTIMATEDSALARY,EXITED,TRANSACTIONTIMESTAMP,DEBTTOINCOME,PREDICTED_CHURN,CREDITSCORE
1952,Italy,Female,27,5,0,4,0,1,75772.05,1,1/13/25 9:10,105,9999,630
1953,Italy,Female,33,8,0,1,0,0,139883.13,1,2/2/25 21:39,98,9999,338
1954,Spain,Female,47,5,0,1,0,1,218590.41,1,1/6/25 14:23,114,9999,578
1955,Italy,Male,18,8,130072.29,2,1,1,198102.49,1,1/5/25 20:31,110,9999,317
1956,Italy,Male,27,1,130072.29,2,0,0,146852.04,1,1/11/25 3:04,58,9999,647
1957,Italy,Female,22,3,130072.29,2,1,1,182441.03,0,1/27/25 12:16,59,9999,606
1958,Italy,Female,68,2,0,3,1,0,167293.89,1,1/20/25 19:03,60,9999,347
1959,Germany,Male,20,3,0,2,0,0,21161.13,1,1/27/25 5:32,85,9999,516
1960,Spain,Female,30,0,130072.29,1,1,1,160501.26,1,2/1/25 15:07,105,9999,354
1961,Italy,Male,22,1,0,1,1,1,218656.92,1,1/31/25 19:50,81,9999,689
1962,Spain,Male,24,3,130072.29,3,1,0,208358.54,1,1/8/25 3:24,84,9999,572
1963,France,Male,83,9,0,4,0,1,120162.3,1,1/5/25 0:11,53,9999,372
1964,Italy,Female,22,3,0,2,0,0,84845.07,1,1/24/25 11:27,111,9999,278
1965,France,Male,19,4,130072.29,3,0,0,97566.82,1,1/20/25 5:42,112,9999,386
1966,France,Female,19,8,130072.29,4,0,0,143620.93,1,1/28/25 0:50,57,9999,444
1967,France,Male,27,0,130072.29,4,0,0,105355.17,1,1/16/25 12:09,118,9999,658
1968,Spain,Female,29,7,0,2,0,1,90376.69,1,1/13/25 1:42,110,9999,475
1969,Italy,Female,24,2,130072.29,1,0,0,34060.67,1,2/3/25 7:51,112,9999,581
1970,Spain,Male,30,8,0,2,0,1,31010.38,1,2/1/25 7:42,110,9999,419
1971,Germany,Male,19,10,0,2,1,0,12196.47,1,1/6/25 17:38,86,9999,258
1972,Italy,Male,65,7,0,1,1,0,248503.51,1,1/30/25 21:22,53,9999,289
1973,France,Male,56,7,130072.29,1,0,0,93851.81,0,1/24/25 12:44,105,9999,274
1974,Italy,Female,92,8,0,1,1,0,22802.29,1,1/25/25 13:51,92,9999,510
1975,Spain,Female,82,3,0,4,1,1,144073.91,1,1/7/25 21:13,70,9999,644
1976,France,Female,24,4,130072.29,4,0,0,170386.98,1,1/20/25 22:28,107,9999,692
1977,Italy,Female,25,6,0,2,0,0,171790.27,1,2/1/25 10:32,65,9999,475
1978,Italy,Female,40,1,0,3,0,1,242506.03,1,1/31/25 16:08,102,9999,373
1979,France,Male,20,6,0,2,0,0,57243.01,1,1/18/25 18:13,67,9999,287
1980,Italy,Male,23,2,130072.29,3,0,1,224208.73,1,1/14/25 11:01,106,9999,577
1981,Italy,Female,20,5,0,2,0,0,227015.73,0,1/8/25 14:42,87,9999,500
1982,Italy,Male,26,5,130072.29,2,0,0,117151.87,1,1/21/25 13:03,81,9999,638
1983,Italy,Male,28,5,0,2,1,0,238435.82,0,1/15/25 17:10,68,9999,425
1984,Italy,Male,21,9,0,4,0,0,54430.99,1,1/7/25 23:39,97,9999,339
1985,Italy,Male,18,1,0,2,1,0,88179.2,0,1/22/25 6:40,75,9999,651
1986,Italy,Male,35,8,0,3,1,0,191052.7,1,2/2/25 6:13,94,9999,286
1987,France,Male,18,7,0,4,0,0,236550.81,1,1/11/25 13:39,94,9999,565
1988,France,Female,90,6,0,2,0,0,24086.59,1,1/2/25 16:23,64,9999,425
1989,Italy,Male,22,10,130072.29,1,1,0,169818.1,1,1/8/25 1:02,67,9999,533
1990,Italy,Male,30,8,130072.29,4,0,1,236076.43,1,1/12/25 14:27,80,9999,330
1991,France,Female,26,3,130072.29,1,1,0,30222.86,1,1/10/25 4:36,64,9999,363
1992,Italy,Female,19,1,130072.29,2,1,1,49852.23,1,1/20/25 14:03,64,9999,289
1993,Italy,Female,26,3,130072.29,3,1,1,170933.19,0,1/7/25 22:20,114,9999,550
1994,Italy,Male,27,9,0,1,1,1,159874.52,1,1/14/25 20:51,95,9999,473
1995,Germany,Female,64,10,0,1,1,1,78116.22,0,1/14/25 4:20,65,9999,567
1996,Germany,Male,38,2,0,4,0,0,234456.46,1,1/30/25 5:19,104,9999,598
1997,Germany,Female,19,1,130072.29,1,1,0,99720.94,1,1/10/25 13:04,79,9999,364
1998,Germany,Male,21,1,0,2,1,0,88634.53,1,1/9/25 5:35,90,9999,435
1999,France,Male,23,7,0,4,0,0,211105.64,1,1/22/25 20:21,116,9999,572
2000,Italy,Female,20,4,0,1,1,0,142607.62,1,1/8/25 9:06,66,9999,305
2001,France,Male,26,5,130072.29,3,0,1,113300.16,1,1/17/25 17:09,75,9999,289
2002,Italy,Male,92,7,130072.29,4,0,1,138463.89,0,1/8/25 3:08,113,9999,603
2003,France,Male,27,6,0,3,1,1,180647.76,1,1/7/25 6:00,107,9999,289
2004,Germany,Male,40,6,0,3,0,0,25431.87,1,1/1/25 5:01,52,9999,596
2005,France,Female,30,6,0,4,1,0,86744.95,1,1/29/25 17:02,77,9999,486
2006,Italy,Female,63,10,0,1,1,1,215826.06,1,1/31/25 23:29,53,9999,538
2007,Italy,Female,22,10,0,1,1,1,184466.19,1,1/5/25 10:54,89,9999,511
2008,France,Male,42,6,0,3,1,1,23063.75,1,2/3/25 11:09,106,9999,465
2009,France,Female,70,7,130072.29,1,1,1,117767.48,1,1/5/25 17:16,114,9999,396
2010,Spain,Female,21,0,0,4,0,0,80449.22,1,1/3/25 16:14,96,9999,585
2011,Italy,Male,24,2,130072.29,3,0,1,199265.1,1,1/12/25 5:54,83,9999,417
2012,Germany,Female,89,0,0,2,1,1,40234.23,1,1/25/25 5:32,94,9999,341
2013,France,Female,48,7,130072.29,2,1,1,40499.89,1,1/31/25 10:43,81,9999,602
2014,Spain,Female,23,1,130072.29,2,1,1,186691.89,1,1/27/25 19:20,93,9999,308
2015,France,Male,28,6,130072.29,1,1,1,246850.73,1,2/2/25 17:57,60,9999,308
2016,France,Female,25,5,130072.29,2,0,0,100551.26,1,1/30/25 8:07,85,9999,553
2017,France,Female,27,10,0,2,1,1,216556.86,1,1/5/25 22:06,62,9999,418
2018,Germany,Female,24,0,0,3,1,1,102535.4,1,1/19/25 3:23,106,9999,518
2019,Spain,Male,23,5,0,4,0,1,165910.53,1,1/28/25 0:08,74,9999,612
2020,Italy,Male,30,8,0,3,0,1,124247.73,0,2/3/25 1:01,119,9999,294
2021,Italy,Female,48,2,0,3,0,0,187093.83,1,1/5/25 5:32,86,9999,594
2022,Spain,Female,68,6,0,2,0,1,19015.99,1,1/25/25 12:01,53,9999,430
2023,France,Female,20,3,0,3,0,1,139628.72,1,1/24/25 4:12,75,9999,419
2024,France,Male,57,0,0,2,1,0,249599.12,1,2/1/25 6:36,62,9999,605
2025,Italy,Male,22,6,130072.29,1,1,0,189139.09,1,1/11/25 21:54,100,9999,440
2026,Italy,Female,25,0,130072.29,2,1,1,61406.95,1,1/6/25 7:22,96,9999,404
2027,Germany,Female,74,10,130072.29,4,1,0,79893.82,1,1/5/25 1:49,82,9999,671
2028,Germany,Male,26,3,0,3,0,0,173847.46,1,1/29/25 13:13,91,9999,437
2029,Italy,Male,21,8,0,4,0,0,41482.29,1,1/15/25 15:06,80,9999,256
2030,Italy,Female,20,4,0,4,0,0,6736.94,1,1/3/25 8:53,89,9999,382
2031,Germany,Male,26,6,0,3,0,0,194348.53,0,1/14/25 17:46,65,9999,484
2032,Italy,Female,44,6,130072.29,3,0,1,151872.85,1,1/7/25 13:53,105,9999,294
2033,Spain,Female,95,2,0,3,1,0,169859.83,1,1/26/25 11:54,85,9999,563
2034,Italy,Male,49,10,0,4,1,0,10412.04,1,2/2/25 22:50,105,9999,498
2035,France,Female,69,7,130072.29,1,1,0,97770.52,1,2/2/25 22:13,97,9999,280
2036,Spain,Female,41,0,0,4,0,1,135280.92,1,1/2/25 20:20,107,9999,272
2037,France,Female,73,3,130072.29,1,1,0,175968.45,1,1/31/25 12:38,64,9999,675
2038,Italy,Female,19,9,0,2,1,1,211921.75,1,2/2/25 2:04,64,9999,643
2039,France,Female,80,3,130072.29,3,1,0,75202.89,1,1/5/25 3:06,70,9999,409
2040,Italy,Female,25,1,0,4,0,1,227209.74,1,1/30/25 22:18,113,9999,612
2041,Italy,Female,79,5,0,1,0,1,169675.04,1,1/7/25 13:33,56,9999,686
2042,Spain,Male,19,0,0,1,0,1,102639.87,1,1/9/25 19:22,101,9999,407
2043,Germany,Male,34,2,0,1,1,0,167153.83,1,1/12/25 4:04,68,9999,288
2044,France,Female,38,8,0,3,1,1,166969.55,1,1/5/25 16:52,95,9999,664
2045,Italy,Male,95,9,130072.29,1,0,1,57336.49,1,1/13/25 9:46,87,9999,331
2046,Italy,Female,45,5,130072.29,3,1,1,6510.76,0,1/12/25 4:31,62,9999,605
2047,Italy,Female,25,1,130072.29,4,1,0,35039.88,1,1/28/25 8:48,93,9999,507
2048,France,Male,28,8,0,1,1,1,238962.17,1,1/7/25 16:31,71,9999,455
2049,Germany,Female,24,1,0,1,1,0,215287.95,1,1/19/25 23:38,120,9999,326
2050,France,Female,21,6,0,3,0,1,47233.29,1,1/21/25 14:36,84,9999,261
2051,Germany,Male,22,0,0,3,1,0,166574.85,1,1/3/25 8:07,52,9999,544
2052,Italy,Male,22,4,0,4,0,0,229462.19,1,1/22/25 14:19,65,9999,699
2053,Italy,Male,28,6,0,3,0,1,229434.15,1,1/2/25 12:38,94,9999,473
2054,Italy,Male,75,2,0,4,1,0,143282.56,1,1/10/25 9:37,65,9999,262
2055,Italy,Male,77,3,0,4,0,1,182257.29,1,1/31/25 3:33,115,9999,295
2056,Italy,Male,19,4,130072.29,1,0,0,101545.62,1,1/16/25 17:37,87,9999,404
2057,Spain,Female,19,2,0,2,1,0,22670.84,1,1/11/25 19:36,73,9999,362
2058,Italy,Male,22,5,0,2,0,1,134544.66,1,1/13/25 11:32,99,9999,482
2059,Spain,Male,22,2,130072.29,3,1,0,82949.24,1,2/3/25 3:04,106,9999,266
2060,Italy,Female,19,7,130072.29,3,1,0,104708.25,1,1/23/25 9:06,105,9999,609
2061,Spain,Female,25,6,130072.29,2,1,0,47594.5,1,1/6/25 10:43,115,9999,472
2062,France,Male,28,0,0,4,1,0,185100.41,1,1/12/25 23:39,111,9999,603
2063,Spain,Female,28,1,0,2,1,0,237324.07,1,2/1/25 5:29,63,9999,437
2064,Italy,Female,28,3,130072.29,4,0,0,176682.26,1,1/8/25 4:46,115,9999,697
2065,Germany,Female,24,4,130072.29,4,0,1,125609.62,1,1/1/25 5:18,109,9999,593
2066,Spain,Female,32,10,130072.29,3,0,1,107738.29,0,1/25/25 17:21,70,9999,614
2067,Italy,Female,58,9,130072.29,3,0,1,139990.99,1,1/12/25 14:29,84,9999,412
2068,Italy,Female,24,10,0,3,1,1,164564.57,1,1/26/25 2:03,79,9999,575
2069,Italy,Female,19,3,130072.29,2,0,0,36048.99,1,1/15/25 18:55,88,9999,663
2070,Spain,Male,23,3,130072.29,2,0,1,198710.61,1,1/16/25 6:03,74,9999,323
2071,France,Female,20,8,0,2,1,0,6323.86,1,1/19/25 2:15,93,9999,482
2072,France,Male,26,3,130072.29,4,1,1,212045.23,1,1/12/25 14:13,108,9999,473
2073,Italy,Female,20,3,130072.29,3,0,0,128063.83,1,1/22/25 4:55,55,9999,568
2074,Italy,Female,26,3,0,1,1,0,111476.2,1,1/7/25 11:48,52,9999,661
2075,Germany,Male,22,1,0,2,1,1,34620.24,1,1/8/25 23:58,85,9999,309
2076,Italy,Female,39,7,130072.29,1,0,0,148130.64,1,1/16/25 22:17,50,9999,584
2077,France,Female,18,3,0,1,0,0,26807.78,0,1/24/25 13:59,83,9999,471
2078,Spain,Male,28,4,0,2,0,1,217161.03,1,1/5/25 21:26,114,9999,286
2079,Italy,Female,21,7,0,2,1,0,79059.26,1,1/11/25 8:51,75,9999,527
2080,France,Female,18,3,0,2,0,0,47272.92,1,1/21/25 20:38,67,9999,445
2081,Italy,Male,67,4,130072.29,3,0,1,66539.43,1,1/24/25 5:23,85,9999,653
2082,France,Male,30,4,0,1,0,0,135624.04,0,1/22/25 11:37,55,9999,601
2083,Italy,Female,19,5,0,4,0,1,142189.63,1,1/11/25 1:13,93,9999,491
2084,Germany,Male,30,6,130072.29,1,0,0,87918.24,1,1/1/25 22:29,89,9999,573
2085,Italy,Female,29,2,130072.29,4,0,0,198147.5,1,1/3/25 8:13,79,9999,468
2086,Italy,Female,26,9,0,1,0,1,97591.77,1,1/8/25 7:07,80,9999,441
2087,France,Male,25,10,130072.29,1,0,1,112195.36,1,1/25/25 21:10,107,9999,266
2088,Italy,Male,71,2,0,3,1,1,36866.12,1,1/9/25 20:02,104,9999,261
2089,Germany,Male,22,8,0,4,1,0,38225.2,0,1/3/25 12:52,85,9999,655
2090,Italy,Male,25,0,0,2,1,0,29800.13,1,1/16/25 20:10,79,9999,650
2091,France,Female,24,9,0,2,1,1,40903.11,1,1/6/25 14:31,97,9999,643
2092,Italy,Male,46,7,0,3,1,0,225547.18,1,1/13/25 6:06,66,9999,623
2093,France,Male,77,9,0,2,0,1,172813.37,1,1/5/25 7:57,76,9999,442
2094,Italy,Female,63,2,0,1,0,1,169630.42,1,1/28/25 7:23,112,9999,271
2095,Italy,Female,52,4,130072.29,3,0,1,40745.84,0,1/14/25 2:54,63,9999,369
2096,Italy,Female,93,2,0,4,1,0,132267.62,1,1/4/25 0:17,75,9999,459
2097,Germany,Female,30,9,0,3,1,1,124720.31,1,1/8/25 17:03,92,9999,555
2098,Italy,Female,42,0,0,1,0,0,75457.4,1,1/3/25 3:29,50,9999,519
2099,Spain,Female,92,9,0,3,1,0,71167.41,1,1/26/25 12:49,73,9999,441
2100,Spain,Female,18,4,0,1,0,0,191802.1,1,1/15/25 0:04,69,9999,424
2101,Italy,Female,29,7,0,3,0,1,78050.27,1,2/1/25 20:51,57,9999,534
2102,France,Female,39,4,130072.29,4,1,0,150160.68,1,1/27/25 5:35,79,9999,453
2103,Italy,Male,78,3,130072.29,4,0,0,230266.46,1,1/12/25 11:45,67,9999,413
2104,Italy,Male,70,8,130072.29,2,1,0,130903.56,1,1/8/25 0:21,62,9999,500
2105,Germany,Female,61,0,0,1,0,1,152972.98,1,1/8/25 3:57,97,9999,476
2106,France,Male,84,4,130072.29,2,0,0,219429.75,1,1/12/25 12:57,109,9999,685
2107,France,Female,27,0,0,3,1,1,181648.58,1,1/29/25 13:54,75,9999,630
2108,Italy,Female,18,5,0,3,1,1,8305.85,1,1/22/25 2:01,58,9999,256
2109,Italy,Female,18,9,130072.29,3,1,1,40488.91,1,1/9/25 13:12,102,9999,278
2110,Italy,Female,28,8,0,3,1,0,70915.01,1,1/24/25 22:52,120,9999,644
2111,Germany,Male,26,10,130072.29,4,0,1,110448.21,1,1/7/25 12:28,58,9999,282
2112,France,Male,26,1,0,3,0,0,72636.97,1,1/29/25 22:08,75,9999,383
2113,Germany,Female,25,3,0,4,0,0,118033.52,1,1/2/25 23:09,82,9999,616
2114,Italy,Male,78,7,130072.29,2,1,1,197032.9,1,2/2/25 8:27,82,9999,328
2115,Italy,Male,24,2,0,4,0,0,243374.88,1,1/20/25 11:50,101,9999,665
2116,Italy,Female,64,6,0,4,1,0,159186.21,1,1/16/25 2:10,89,9999,684
2117,Italy,Female,74,6,0,1,0,1,218184.47,1,1/6/25 18:25,53,9999,307
2118,Italy,Male,27,1,130072.29,3,1,0,89212.22,1,1/21/25 19:46,77,9999,275
2119,Germany,Male,26,9,0,3,0,0,38530.23,0,1/16/25 23:21,103,9999,679
2120,Spain,Female,44,3,130072.29,3,0,1,209079.81,1,1/16/25 2:01,117,9999,475
2121,France,Female,32,0,130072.29,2,0,0,194059.61,1,1/22/25 16:03,98,9999,534
2122,Italy,Male,24,7,0,3,1,0,62869.15,1,1/12/25 19:49,55,9999,253
2123,Italy,Female,19,9,130072.29,3,1,1,136952.35,1,1/17/25 9:52,82,9999,348
2124,Spain,Female,22,9,130072.29,3,0,1,248486,0,1/5/25 8:47,54,9999,646
2125,Italy,Female,20,8,130072.29,1,0,1,243106.71,1,1/22/25 7:24,67,9999,288
2126,Spain,Male,23,0,0,4,0,1,115785.43,1,2/1/25 12:45,52,9999,520
2127,Italy,Male,22,10,130072.29,1,1,0,74489.02,1,1/18/25 3:20,51,9999,624
2128,Italy,Female,29,6,130072.29,3,0,0,76930.04,1,1/7/25 16:02,114,9999,534
2129,Spain,Male,86,0,130072.29,4,0,0,220136.79,1,1/4/25 14:09,84,9999,406
2130,Italy,Female,30,0,0,1,1,1,168902.68,1,1/16/25 4:13,100,9999,324
2131,France,Male,80,8,0,3,0,1,151838.23,1,1/25/25 13:34,117,9999,621
2132,France,Male,49,9,0,3,1,0,70637.68,1,1/8/25 22:24,84,9999,537
2133,Italy,Male,37,9,0,1,1,1,104566.87,1,1/20/25 4:16,93,9999,379
2134,Italy,Female,25,5,0,4,0,1,141641.42,1,1/2/25 22:00,78,9999,424
2135,France,Female,24,0,130072.29,4,0,1,132675.67,1,2/3/25 19:46,85,9999,333
2136,Germany,Female,62,6,0,1,1,0,17904.05,1,1/22/25 18:30,91,9999,271
2137,Italy,Male,75,2,130072.29,3,0,0,124259.67,0,1/6/25 18:53,56,9999,276
2138,Spain,Female,26,9,0,4,1,1,154577.63,1,1/28/25 2:47,62,9999,444
2139,Italy,Female,18,3,0,1,1,0,197969.7,1,1/3/25 9:30,71,9999,586
2140,Italy,Female,51,3,0,1,0,1,36509.74,1,1/16/25 10:23,106,9999,631
2141,Italy,Female,23,7,130072.29,1,0,1,207023.61,1,1/15/25 3:13,94,9999,485
2142,Italy,Male,18,0,0,4,0,0,27766.84,0,2/2/25 12:22,103,9999,689
2143,Italy,Female,53,7,0,2,1,1,127343.07,1,1/21/25 18:57,51,9999,341
2144,Spain,Female,27,8,0,2,0,0,25790.46,1,1/8/25 4:52,106,9999,270
2145,Italy,Male,30,10,0,2,1,1,205258.02,1,1/20/25 3:03,83,9999,552
2146,Italy,Female,77,6,0,2,1,1,118620.38,1,1/24/25 10:46,93,9999,606
2147,Italy,Male,28,0,0,2,1,0,157042.28,1,1/4/25 15:15,118,9999,692
2148,Germany,Male,27,6,0,3,1,1,127227.51,1,1/12/25 9:29,102,9999,333
2149,Spain,Male,23,5,0,1,0,1,117974.38,1,1/8/25 1:15,111,9999,511
2150,Italy,Female,23,4,130072.29,2,1,1,49750.34,1,1/11/25 7:07,82,9999,396
2151,Italy,Male,51,4,0,4,1,0,236150.43,1,1/10/25 11:25,118,9999,690
2152,Italy,Male,26,0,0,1,1,1,183520.49,1,1/22/25 4:45,50,9999,636
2153,Italy,Male,21,5,0,4,0,0,143865.47,1,2/2/25 9:03,84,9999,506
2154,Italy,Female,19,3,0,4,1,1,55435.92,1,1/20/25 9:09,74,9999,307
2155,Italy,Male,26,0,0,4,0,0,103110.03,1,1/23/25 0:57,53,9999,629
2156,Italy,Male,26,7,130072.29,3,0,1,88865.94,1,1/7/25 16:27,116,9999,671
2157,France,Male,30,7,130072.29,4,1,1,190098.39,1,2/3/25 16:54,59,9999,264
2158,Italy,Female,26,10,0,1,1,1,52261.23,1,1/29/25 21:09,69,9999,411
2159,Spain,Male,20,3,130072.29,1,0,0,168482.8,1,1/31/25 6:30,89,9999,694
2160,Spain,Male,27,6,130072.29,3,1,1,226120.18,1,1/22/25 21:38,116,9999,412
2161,France,Female,75,2,0,3,1,1,210414.02,1,1/6/25 17:59,64,9999,569
2162,Italy,Female,20,7,0,1,0,0,88163.13,1,2/1/25 20:46,77,9999,530
2163,Italy,Female,30,6,0,1,0,1,42173.9,1,1/30/25 10:10,84,9999,529
2164,Italy,Male,29,4,0,4,0,1,93835.57,0,1/20/25 3:22,56,9999,261
2165,Germany,Male,41,4,0,4,0,0,101634.64,1,1/7/25 13:47,103,9999,523
2166,Italy,Male,20,8,0,3,1,0,136644.91,1,1/1/25 19:11,91,9999,520
2167,Spain,Male,83,5,130072.29,2,0,1,16082.05,0,1/8/25 23:07,87,9999,457
2168,Spain,Female,29,5,130072.29,4,0,1,130140.03,1,1/31/25 17:06,113,9999,276
2169,Italy,Male,62,1,0,4,1,1,153231.15,1,1/6/25 9:31,106,9999,321
2170,France,Female,22,10,0,2,0,1,235766.93,1,1/24/25 20:40,78,9999,309
2171,Italy,Male,39,4,130072.29,4,1,1,182556.89,1,1/11/25 7:11,115,9999,679
2172,Italy,Male,48,3,130072.29,2,0,1,11920.09,0,1/9/25 21:22,55,9999,394
2173,Italy,Male,25,9,130072.29,2,0,0,47916.97,1,1/27/25 20:44,51,9999,342
2174,Italy,Female,25,2,0,1,1,1,121483.08,1,1/8/25 21:11,88,9999,558
2175,Spain,Female,30,8,0,2,1,1,244101.81,1,1/28/25 15:43,55,9999,257
2176,Italy,Female,19,10,130072.29,2,0,0,152286.37,1,1/5/25 22:44,63,9999,328
2177,Italy,Female,38,6,130072.29,3,0,0,211843.26,1,1/12/25 6:23,67,9999,276
2178,France,Male,18,3,0,3,0,1,30469.21,0,1/1/25 13:35,119,9999,423
2179,France,Male,21,8,130072.29,3,0,0,112100.98,1,1/8/25 22:18,71,9999,299
2180,Italy,Male,30,8,0,4,0,0,10473.45,1,1/15/25 1:59,62,9999,448
2181,Spain,Male,19,6,0,3,1,0,65836.94,1,1/10/25 17:01,59,9999,636
2182,France,Male,89,4,0,1,0,0,203772.74,1,1/5/25 2:45,76,9999,598
2183,Italy,Female,67,8,130072.29,1,1,0,157436.82,1,2/3/25 2:20,63,9999,697
2184,Italy,Female,29,6,0,1,0,0,74107.95,1,1/24/25 7:58,58,9999,677
2185,Italy,Male,56,8,0,4,1,0,211280.85,1,1/27/25 14:22,58,9999,430
2186,Germany,Male,71,10,130072.29,2,0,0,185114.54,1,1/25/25 14:35,106,9999,273
2187,France,Male,22,2,130072.29,2,1,1,127920.77,1,1/13/25 18:32,84,9999,565
2188,Germany,Male,63,10,0,1,0,0,15836.98,1,1/27/25 13:26,75,9999,627
2189,Italy,Female,21,8,0,2,0,0,227052.84,1,1/11/25 23:46,90,9999,636
2190,Italy,Male,25,0,0,2,1,1,168925.06,0,2/2/25 3:17,116,9999,653
2191,Italy,Male,28,4,0,2,1,1,204298.02,1,2/2/25 12:22,79,9999,295
2192,Italy,Male,34,1,0,4,0,0,234288.04,1,1/21/25 20:57,78,9999,264
2193,France,Male,18,0,0,2,1,1,38893.91,1,1/5/25 3:34,117,9999,402
2194,Germany,Female,23,2,0,2,1,1,189445.47,1,1/10/25 0:19,63,9999,471
2195,Italy,Male,29,6,130072.29,4,0,0,42868.05,1,1/18/25 18:09,101,9999,455
2196,Italy,Female,24,2,130072.29,3,1,0,131330.45,1,1/30/25 1:22,88,9999,522
2197,Italy,Female,47,9,0,1,1,1,183117.1,1,1/23/25 19:14,70,9999,631
2198,Italy,Male,30,9,0,4,0,0,132490.52,0,1/23/25 7:24,120,9999,485
2199,Italy,Male,22,10,0,4,1,1,120774.32,1,1/20/25 11:54,55,9999,589
2200,Italy,Male,20,8,0,1,0,0,74421.96,1,1/22/25 3:42,104,9999,477
2201,Italy,Male,29,2,130072.29,2,0,0,193167.86,1,1/21/25 8:17,89,9999,258
2202,Italy,Male,26,10,130072.29,2,1,0,26901.52,1,1/4/25 14:56,119,9999,415
2203,Italy,Female,21,5,130072.29,4,1,1,61772.24,1,1/10/25 10:17,74,9999,681
2204,Italy,Female,24,1,130072.29,3,1,0,16069.93,1,1/13/25 19:43,53,9999,693
2205,France,Female,23,7,130072.29,1,1,1,48387.49,1,1/10/25 21:38,83,9999,568
2206,Italy,Female,20,9,0,3,1,1,104873.72,1,1/5/25 4:33,71,9999,463
2207,Spain,Female,28,4,130072.29,4,0,1,12296.45,1,1/13/25 7:11,105,9999,366
2208,Italy,Male,44,1,0,3,1,0,60582.86,1,1/2/25 9:05,95,9999,635
2209,Italy,Male,28,6,130072.29,4,1,1,14966.51,1,1/8/25 0:35,105,9999,593
2210,Italy,Female,58,2,0,1,0,0,219556.35,1,1/23/25 13:08,76,9999,321
2211,Italy,Male,20,4,0,3,1,0,223047.67,1,1/10/25 16:11,84,9999,644
2212,Germany,Male,26,10,0,3,1,1,176139.08,1,1/19/25 0:57,65,9999,313
2213,Italy,Female,29,8,0,1,0,1,150654.42,1,1/18/25 8:58,69,9999,454
2214,Spain,Female,30,0,130072.29,1,1,0,199981.38,1,1/16/25 17:22,64,9999,458
2215,Spain,Female,30,1,130072.29,4,0,1,73955.15,1,1/11/25 17:33,73,9999,321
2216,France,Male,37,4,0,4,1,1,186796.7,1,1/7/25 20:19,111,9999,526
2217,France,Female,30,3,0,4,1,0,85895.44,1,1/3/25 19:07,93,9999,523
2218,France,Female,19,0,0,4,1,1,113518.44,1,1/3/25 22:09,63,9999,569
2219,Italy,Male,30,6,0,4,0,0,245115.1,1,1/5/25 8:52,100,9999,587
2220,France,Male,36,8,0,1,0,0,212229.29,1,1/16/25 4:22,71,9999,615
2221,Italy,Female,94,0,0,3,0,0,107571.57,1,1/9/25 10:27,81,9999,344
2222,Italy,Male,30,7,0,2,1,0,226733.62,1,1/23/25 17:24,74,9999,415
2223,Italy,Female,30,8,130072.29,2,0,0,28834.22,1,1/31/25 2:02,98,9999,281
2224,France,Male,27,1,130072.29,4,0,0,226208.62,1,1/17/25 20:12,72,9999,260
2225,Spain,Female,67,0,0,2,1,0,222874.29,1,2/2/25 15:33,86,9999,550
2226,Italy,Male,95,5,130072.29,3,1,0,163463.98,1,1/28/25 6:36,52,9999,466
2227,Germany,Male,48,6,0,3,0,0,84549.46,1,1/19/25 21:50,109,9999,538
2228,Italy,Male,29,1,130072.29,4,1,0,206437.4,1,1/23/25 14:23,108,9999,351
2229,Italy,Female,19,4,130072.29,2,1,1,71681.22,0,1/29/25 11:37,72,9999,674
2230,Italy,Female,36,4,0,1,0,1,39833.41,1,1/1/25 4:27,82,9999,641
2231,Italy,Female,32,6,0,1,1,1,140042.95,1,1/23/25 18:40,103,9999,516
2232,Italy,Male,47,10,130072.29,4,1,0,36559.67,1,1/2/25 16:17,88,9999,463
2233,France,Male,20,0,0,3,1,0,92558.69,1,1/3/25 10:21,74,9999,428
2234,Germany,Male,30,9,0,2,0,1,147041.46,1,1/26/25 5:54,112,9999,337
2235,Italy,Female,23,7,130072.29,3,1,0,55850.03,1,2/3/25 7:47,108,9999,290
2236,Italy,Male,44,4,0,4,1,0,106374.95,0,1/30/25 10:54,80,9999,650
2237,Germany,Female,22,2,0,3,0,1,80485.47,1,2/2/25 13:36,98,9999,325
2238,Germany,Female,30,8,130072.29,2,1,0,42819.91,1,1/31/25 9:20,109,9999,626
2239,Italy,Female,23,10,130072.29,3,1,1,160291.41,1,1/21/25 2:46,113,9999,295
2240,Italy,Female,18,2,130072.29,4,1,1,152048.89,1,1/4/25 17:01,87,9999,409
2241,Spain,Female,29,6,0,1,0,1,141957.01,1,1/17/25 22:48,120,9999,329
2242,France,Male,20,9,0,1,1,0,233139.82,1,1/8/25 21:47,57,9999,559
2243,Italy,Male,30,6,130072.29,2,0,0,231998.99,1,1/28/25 5:49,62,9999,335
2244,Italy,Male,79,9,130072.29,4,1,1,145231,0,1/9/25 14:27,75,9999,341
2245,Germany,Male,89,7,0,4,1,1,185984.38,1,1/20/25 21:19,59,9999,397
2246,Italy,Male,22,9,130072.29,3,0,0,202211.19,1,1/3/25 12:17,105,9999,410
2247,Spain,Male,54,7,130072.29,1,0,1,31914.06,0,1/12/25 8:37,53,9999,451
